2020-12-21 14:51:07.848 [pool-2-thread-3] INFO  org.dcm4che3.net.Association - DicmQRSCP<-JPAIBox(11): i/o exception: java.io.IOException: Unexpected Error in State: Sta3 - Awaiting local A-ASSOCIATE response primitive
2020-12-21 14:51:07.848 [pool-2-thread-3] INFO  org.dcm4che3.net.Association - DicmQRSCP<-JPAIBox(11): close Socket[addr=/192.168.1.92,port=57242,localport=11112]
2020-12-21 14:51:07.850 [pool-2-thread-1] INFO  org.dcm4che3.net.Connection - Accept connection Socket[addr=/192.168.1.92,port=57244,localport=11112]
2020-12-21 14:51:07.851 [pool-2-thread-3] INFO  org.dcm4che3.net.Association - DicmQRSCP<-JPAIBox(12) >> A-ASSOCIATE-RQ
2020-12-21 14:51:07.852 [pool-2-thread-3] INFO  com.easydicm.storescp.RsaAssociationHandler - =====makeAAssociateAC BEGIN=====DicmQRSCP>>JPAIBox
2020-12-21 14:51:07.852 [pool-2-thread-3] INFO  com.easydicm.storescp.RsaAssociationHandler - remotePort:57244
2020-12-21 14:51:07.852 [pool-2-thread-3] INFO  com.easydicm.storescp.RsaAssociationHandler - remoteIpAddress:192.168.1.92
2020-12-21 14:51:07.852 [pool-2-thread-3] INFO  com.easydicm.storescp.RsaAssociationHandler - clientId=JX1998
2020-12-21 14:51:07.852 [pool-2-thread-3] INFO  com.easydicm.storescp.RsaAssociationHandler - applicationId=bdb9c6ba-9f2d-3be3-b1b8-164c08dfef4d
2020-12-21 14:51:07.852 [pool-2-thread-3] INFO  com.easydicm.storescp.RsaAssociationHandler - applicationIdEncrtyped=TiXUTVjud2nwtZU6n1P7s4g6sBmKz9+EvHTMHQqjzGbFKHjZ9qeSBdHsc9cLV/7lDKqIzbp6ed0SHGg6+46aB9e0SDelYXIm7VtmLMZiHk/+8CzZg/bVqMGNYnTP6hPvHdp4d2qvL+nT76cEWczDdGk55k8y9Qu1oELu55iDIkMeODMQDFpdS7YI1nW66+ycWtFqC+2LMJW3q2Zx6sd5dOtzJnbbFEGvSvkVtYb6awLGQiPj6xnO7EYQxIdtNpPR1aYBPPVKVOowmVAfms+VMG/cXA==
